Counter,InfoAboutCustomer,FirstName,LastName,Email,Type,Company,Phone,InfoAboutAddress,Country,Zipcode,StreetName,StreetNumber
0,"CustomerObject =>",Agard,Peter,"Agard.Peter36@gmail.com",New_Customer,"StreetEasy",+45455957494,"AddressObject =>","Hungary","171261","Birchfield East",64
1,"CustomerObject =>",Agard,Jens,"Agard.Jens86@gmail.com",Old_Customer,"TrialX",+61057830235,"AddressObject =>","Jamaica","158700","Briar Hollow",71
2,"CustomerObject =>",Agard,Michael,"Agard.Michael73@gmail.com",Special_Customer,"Simple Energy",+82880330673,"AddressObject =>","Puerto Rico","162110","Havelock Cottages",70
3,"CustomerObject =>",Agard,Lars,"Agard.Lars39@gmail.com",New_Customer,"USSearch",+61366617650,"AddressObject =>","San Marino","373495","Lucas End",48
4,"CustomerObject =>",Agard,Thomas,"Agard.Thomas61@gmail.com",Old_Customer,"FlightView",+10484377279,"AddressObject =>","Japan","812539","Marley Dell",31
5,"CustomerObject =>",Agard,Henrik,"Agard.Henrik93@gmail.com",New_Customer,"Owler",+82362731056,"AddressObject =>","Sudan","425590","Harris Bottom",82
6,"CustomerObject =>",Agard,Søren,"Agard.Søren28@gmail.com",New_Customer,"iMedicare",+10989245064,"AddressObject =>","Myanmar","825780","Hartley Hollies",65
7,"CustomerObject =>",Agard,Christian,"Agard.Christian89@gmail.com",New_Customer,"Spikes Cavell Analytic Inc",+86151007865,"AddressObject =>","Peru","111917","Old Mill Broadway",18
8,"CustomerObject =>",Agard,Jan,"Agard.Jan36@gmail.com",Old_Customer,"CityScan",+82722502962,"AddressObject =>","Peru","509162","Ranelagh Common",41
9,"CustomerObject =>",Agard,Martin,"Agard.Martin94@gmail.com",Special_Customer,"Progressive Insurance Group",+45159932574,"AddressObject =>","Serbia","414523","Birkdale Bridge",1
10,"CustomerObject =>",Agard,Niels,"Agard.Niels54@gmail.com",Special_Customer,"Ceiba Solutions",+55612887254,"AddressObject =>","Mongolia","427665","St Luke's Retreat",1
11,"CustomerObject =>",Agard,Anders,"Agard.Anders82@gmail.com",Special_Customer,"OSIsoft",+48581789565,"AddressObject =>","Kuwait","588986","Bowland Esplanade",30
12,"CustomerObject =>",Agard,Morten,"Agard.Morten19@gmail.com",Old_Customer,"Parsons Brinckerhoff",+34878960832,"AddressObject =>","South Africa","931018","Coombe Mead",85
13,"CustomerObject =>",Agard,Jesper,"Agard.Jesper22@gmail.com",Special_Customer,"Ernst & Young LLP",+55936683384,"AddressObject =>","Philippines","232239","Crofters Reach",6
14,"CustomerObject =>",Agard,Mads,"Agard.Mads70@gmail.com",Special_Customer,"RAND Corporation",+55651165260,"AddressObject =>","Russian Federation","425037","Brierley Bridge",41
15,"CustomerObject =>",Agard,Hans,"Agard.Hans66@gmail.com",Old_Customer,"FindTheBest.com",+91539393469,"AddressObject =>","Gabon","572497","Century Terrace",39
16,"CustomerObject =>",Agard,Jørgen,"Agard.Jørgen12@gmail.com",New_Customer,"Sage Bionetworks",+61422701944,"AddressObject =>","Bonaire, Sint Eustatius and Saba","322752","Lynwood Approach",23
17,"CustomerObject =>",Agard,Per,"Agard.Per31@gmail.com",Old_Customer,"AtSite",+86456983705,"AddressObject =>","China","700139","Troon Meadows",17
18,"CustomerObject =>",Agard,Rasmus,"Agard.Rasmus32@gmail.com",Old_Customer,"Xignite",+48529581680,"AddressObject =>","Faroe Islands","916004","Barlow Coppice",5
19,"CustomerObject =>",Agard,Ole,"Agard.Ole83@gmail.com",New_Customer,"Marinexplore, Inc.",+34343785486,"AddressObject =>","Tanzania, United Republic of","629472","Viscount Road",93
20,"CustomerObject =>",Agard,Dragos,"Agard.Dragos91@gmail.com",Old_Customer,"SAS",+45554618591,"AddressObject =>","American Samoa","061428","Newton Croft",92
21,"CustomerObject =>",Agard,Andrew,"Agard.Andrew45@gmail.com",Old_Customer,"Oliver Wyman",+34176295647,"AddressObject =>","Palau","115957","Paget Garth",40
22,"CustomerObject =>",Agard,William,"Agard.William64@gmail.com",Special_Customer,"DataMarket",+45802373048,"AddressObject =>","Bermuda","218425","Chatham Valley",35
23,"CustomerObject =>",Agard,Noah,"Agard.Noah61@gmail.com",New_Customer,"NERA Economic Consulting",+55531241046,"AddressObject =>","Cape Verde","191877","Bowland Esplanade",12
24,"CustomerObject =>",Agard,Lucas,"Agard.Lucas52@gmail.com",Old_Customer,"Liquid Robotics",+61773380289,"AddressObject =>","Fiji","054832","Edgar Quay",50
25,"CustomerObject =>",Agard,Emil,"Agard.Emil45@gmail.com",New_Customer,"Housefax",+10058104413,"AddressObject =>","Jordan","773124","Thames Trees",7
26,"CustomerObject =>",Agard,Oliver,"Agard.Oliver12@gmail.com",Special_Customer,"Remi",+40513611498,"AddressObject =>","Antarctica","047938","Thornton Poplars",92
27,"CustomerObject =>",Agard,Oscar,"Agard.Oscar87@gmail.com",Special_Customer,"ConnectEDU",+10233660727,"AddressObject =>","Burundi","399197","Old Mill Broadway",37
28,"CustomerObject =>",Agard,Malthe,"Agard.Malthe69@gmail.com",Special_Customer,"realtor.com",+10655508866,"AddressObject =>","Mali","090877","Southview Glebe",58
29,"CustomerObject =>",Agard,Clara,"Agard.Clara74@gmail.com",Old_Customer,"PatientsLikeMe",+55454717350,"AddressObject =>","New Caledonia","229557","Linden Street",29
30,"CustomerObject =>",Agard,Sofia,"Agard.Sofia32@gmail.com",Special_Customer,"FlightStats",+48054046412,"AddressObject =>","Antarctica","440459","Chatham Valley",23
31,"CustomerObject =>",Agard,Ella,"Agard.Ella45@gmail.com",New_Customer,"Harris Corporation",+86998177882,"AddressObject =>","Cape Verde","833565","Marley Dell",45
32,"CustomerObject =>",Agard,Emma,"Agard.Emma19@gmail.com",Special_Customer,"Avalara",+86426159259,"AddressObject =>","Argentina","534161","St Luke's Retreat",89
33,"CustomerObject =>",Agard,Isabella,"Agard.Isabella68@gmail.com",New_Customer,"NonprofitMetrics",+48661668955,"AddressObject =>","Croatia","659788","Ranelagh Common",13
34,"CustomerObject =>",Agard,Anna,"Agard.Anna33@gmail.com",Old_Customer,"CGI",+86563117357,"AddressObject =>","Congo, the Democratic Republic of the","719900","Wentworth Lea",28
35,"CustomerObject =>",Agard,Olivia,"Agard.Olivia43@gmail.com",Old_Customer,"Oversight Systems",+40492563631,"AddressObject =>","Trinidad and Tobago","383836","William Heights",97
36,"CustomerObject =>",Agard,Caroline,"Agard.Caroline19@gmail.com",New_Customer,"CoolClimate",+91604138238,"AddressObject =>","Guinea","486476","Junction Vale",13
37,"CustomerObject =>",Agard,Adeline,"Agard.Adeline11@gmail.com",Old_Customer,"Ensco",+10845978144,"AddressObject =>","Belize","347863","Century Terrace",9
38,"CustomerObject =>",Agard,Josefine,"Agard.Josefine55@gmail.com",New_Customer,"3 Round Stones, Inc.",+40948673303,"AddressObject =>","Iraq","163225","Coombe Mead",29
39,"CustomerObject =>",Agard,Maja,"Agard.Maja95@gmail.com",Old_Customer,"HDScores, Inc",+61582932552,"AddressObject =>","Heard Island and McDonald Islands","234105","Wheatfield Glen",61
40,"CustomerObject =>",Agard,Karla,"Agard.Karla25@gmail.com",New_Customer,"StreetEasy",+61064574837,"AddressObject =>","Timor-Leste","521579","Newton Croft",32
41,"CustomerObject =>",Agard,Toma,"Agard.Toma58@gmail.com",Special_Customer,"Ranku",+48260493763,"AddressObject =>","Kazakhstan","629208","Great Glebe",8
42,"CustomerObject =>",Boisen,Peter,"Boisen.Peter88@gmail.com",Special_Customer,"Enervee Corporation",+91602432420,"AddressObject =>","Uruguay","013647","Newlands Brae",43
43,"CustomerObject =>",Boisen,Jens,"Boisen.Jens89@gmail.com",Special_Customer,"(Leg)Cyte",+48631921429,"AddressObject =>","Israel","182917","Edgar Quay",21
